"Cve_Ent","Cve_Mun","Nom_Loc","Nom_Mun","Nom_Ent","Lat_Decimal","Lon_Decimal","Pob_Localidad","Pob_Municipio"
1,1,"Aguascalientes","Aguascalientes","Aguascalientes",21.879823,-102.296047,722250,789618
1,2,"Villa Juárez","Asientos","Aguascalientes",22.095563,-102.070793,4888,45407
1,3,"Calvillo","Calvillo","Aguascalientes",21.846907,-102.718751,19742,54136
1,4,"Cosío","Cosío","Aguascalientes",22.366409,-102.300044,4898,15042
1,5,"Jesús María","Jesús María","Aguascalientes",21.961273,-102.343416,43012,97498
1,6,"Pabellón de Arteaga","Pabellón de Arteaga","Aguascalientes",22.149202,-102.276542,28633,41775
1,7,"Rincón de Romos","Rincón de Romos","Aguascalientes",22.229233,-102.323069,27988,49144
1,8,"San José de Gracia","San José de Gracia","Aguascalientes",22.150216,-102.415634,4927,8443
1,9,"Tepezalá","Tepezalá","Aguascalientes",22.224228,-102.166971,4511,19635
1,10,"Palo Alto","El Llano","Aguascalientes",21.918869,-101.965307,5399,18659
1,11,"San Francisco de los Romo","San Francisco de los Romo","Aguascalientes",22.072393,-102.272678,16124,35744
2,1,"Ensenada","Ensenada","Baja California",31.808944,-116.595134,279765,459290
2,2,"Mexicali","Mexicali","Baja California",32.641176,-115.475579,689775,865867
2,3,"Tecate","Tecate","Baja California",32.572679,-116.62655,64764,89063
2,4,"Tijuana","Tijuana","Baja California",32.532461,-117.018913,1300983,1346453
2,5,"Playas de Rosarito","Playas de Rosarito","Baja California",32.363684,-117.054459,65278,81357
3,1,"Ciudad Constitución","Comondú","Baja California Sur",25.034636,-111.673339,40935,70166
3,2,"Guerrero Negro","Mulegé","Baja California Sur",27.971833,-114.053021,13054,58136
3,3,"La Paz","La Paz","Baja California Sur",24.148745,-110.30659,215178,248561
3,8,"San José del Cabo","Los Cabos","Baja California Sur",23.061591,-109.694749,69788,149469
3,9,"Loreto","Loreto","Baja California Sur",26.012778,-111.343333,14724,16692
4,1,"Calkiní","Calkiní","Campeche",20.371226,-90.050739,14934,52869
4,2,"San Francisco de Campeche","Campeche","Campeche",19.844814,-90.539649,220389,258769
4,3,"Ciudad del Carmen","Carmen","Campeche",18.637789,-91.83645,169466,220098
4,4,"Champotón","Champotón","Campeche",19.356219,-90.723891,30881,82951
4,5,"Hecelchakán","Hecelchakán","Campeche",20.176966,-90.134517,10285,28305
